Day_Draw,Date,Pick3
FriMid,2010-01-01,391
FriEve,2010-01-01,808
SatMid,2010-01-02,989
SatEve,2010-01-02,137
SunMid,2010-01-03,284
SunEve,2010-01-03,290
MonMid,2010-01-04,942
MonEve,2010-01-04,809
TueMid,2010-01-05,278
TueEve,2010-01-05,755
WedMid,2010-01-06,550
WedEve,2010-01-06,226
ThuMid,2010-01-07,208
ThuEve,2010-01-07,456
FriMid,2010-01-08,548
FriEve,2010-01-08,295
SatMid,2010-01-09,948
SatEve,2010-01-09,874
SunMid,2010-01-10,654
SunEve,2010-01-10,976
MonMid,2010-01-11,379
MonEve,2010-01-11,853
TueMid,2010-01-12,384
TueEve,2010-01-12,557
WedMid,2010-01-13,686
WedEve,2010-01-13,853
ThuMid,2010-01-14,824
ThuEve,2010-01-14,646
FriMid,2010-01-15,305
FriEve,2010-01-15,48
SatMid,2010-01-16,436
SatEve,2010-01-16,225
SunMid,2010-01-17,500
SunEve,2010-01-17,47
MonMid,2010-01-18,42
MonEve,2010-01-18,809
TueMid,2010-01-19,770
